$f$/kHz,1.6,0.88,0.83,0.77,0.65,0.58,0.52,0.41,0.32,0.17,0.05,2.59,2.65,2.73,2.81,2.86,2.95,3.05,3.14,3.27,3.39
$u$/mV,366,259,234,209,183,159,133,108,83,58,44,259,234,209,183,159,134,109,84,59,40
