$f$/kHz,1.27,0.64,0.58,0.53,0.47,0.42,0.37,0.3,0.25,0.15,0.05,1.85,1.9,1.96,2.01,2.05,2.11,2.17,2.25,2.35,2.51
$u$/mV,366,259,234,209,183,159,133,108,83,58,44,259,234,209,183,159,134,109,84,59,34
