$f$/kHz,0.05,2.48,2.64,2.73,2.78,2.83,2.91,2.95,2.99,3.01,3.07,3.12,3.18,3.25,3.34,3.47,3.58
$u$/mV,380,356,332,308,282,258,232,208,190,183,158,132,108,83,58,33,26
